char,name,std,mac,win,pdf
A,A,101,101,101,101
Æ,AE,341,256,306,306
Á,Aacute,NA,347,301,301
Â,Acircumflex,NA,345,302,302
Ä,Adieresis,NA,200,304,304
À,Agrave,NA,313,300,300
Å,Aring,NA,201,305,305
Ã,Atilde,NA,314,303,303
B,B,102,102,102,102
C,C,103,103,103,103
Ç,Ccedilla,NA,202,307,307
D,D,104,104,104,104
E,E,105,105,105,105
É,Eacute,NA,203,311,311
Ê,Ecircumflex,NA,346,312,312
Ë,Edieresis,NA,350,313,313
È,Egrave,NA,351,310,310
Ð,Eth,NA,NA,320,320
€,Euro,NA,NA,200,240
F,F,106,106,106,106
G,G,107,107,107,107
H,H,110,110,110,110
I,I,111,111,111,111
Í,Iacute,NA,352,315,315
Î,Icircumflex,NA,353,316,316
Ï,Idieresis,NA,354,317,317
Ì,Igrave,NA,355,314,314
J,J,112,112,112,112
K,K,113,113,113,113
L,L,114,114,114,114
Ł,Lslash,350,NA,NA,225
M,M,115,115,115,115
N,N,116,116,116,116
Ñ,Ntilde,NA,204,321,321
O,O,117,117,117,117
Œ,OE,352,316,214,226
Ó,Oacute,NA,356,323,323
Ô,Ocircumflex,NA,357,324,324
Ö,Odieresis,NA,205,326,326
Ò,Ograve,NA,361,322,322
Ø,Oslash,351,257,330,330
Õ,Otilde,NA,315,325,325
P,P,120,120,120,120
Q,Q,121,121,121,121
R,R,122,122,122,122
S,S,123,123,123,123
Š,Scaron,NA,NA,212,227
T,T,124,124,124,124
Þ,Thorn,NA,NA,336,336
U,U,125,125,125,125
Ú,Uacute,NA,362,332,332
Û,Ucircumflex,NA,363,333,333
Ü,Udieresis,NA,206,334,334
Ù,Ugrave,NA,364,331,331
V,V,126,126,126,126
W,W,127,127,127,127
X,X,130,130,130,130
Y,Y,131,131,131,131
Ý,Yacute,NA,NA,335,335
Ÿ,Ydieresis,NA,331,237,230
Z,Z,132,132,132,132
Ž,Zcaron,NA,NA,216,231
a,a,141,141,141,141
á,aacute,NA,207,341,341
â,acircumflex,NA,211,342,342
´,acute,302,253,264,264
ä,adieresis,NA,212,344,344
æ,ae,361,276,346,346
à,agrave,NA,210,340,340
&amp;,ampersand,46,46,46,46
å,aring,NA,214,345,345
^,asciicircum,136,136,136,136
~,asciitilde,176,176,176,176
*,asterisk,52,52,52,52
@,at,100,100,100,100
ã,atilde,NA,213,343,343
b,b,142,142,142,142
\,backslash,134,134,134,134
|,bar,174,174,174,174
{,braceleft,173,173,173,173
},braceright,175,175,175,175
[,bracketleft,133,133,133,133
],bracketright,135,135,135,135
˘,breve,306,371,NA,30
¦,brokenbar,NA,NA,246,246
•,bullet,267,245,225,200
c,c,143,143,143,143
ˇ,caron,317,377,NA,31
ç,ccedilla,NA,215,347,347
¸,cedilla,313,374,270,270
¢,cent,242,242,242,242
ˆ,circumflex,303,366,210,32
:,colon,72,72,72,72
",",comma,54,54,54,54
©,copyright,NA,251,251,251
¤,currency,250,333,244,244
d,d,144,144,144,144
†,dagger,262,240,206,201
‡,daggerdbl,263,340,207,202
°,degree,NA,241,260,260
¨,dieresis,310,254,250,250
÷,divide,NA,326,367,367
$,dollar,44,44,44,44
˙,dotaccent,307,372,NA,33
ı,dotlessi,365,365,NA,232
e,e,145,145,145,145
é,eacute,NA,216,351,351
ê,ecircumflex,NA,220,352,352
ë,edieresis,NA,221,353,353
è,egrave,NA,217,350,350
8,eight,70,70,70,70
…,ellipsis,274,311,205,203
—,emdash,320,321,227,204
–,endash,261,320,226,205
=,equal,75,75,75,75
ð,eth,NA,NA,360,360
!,exclam,41,41,41,41
¡,exclamdown,241,301,241,241
f,f,146,146,146,146
ﬁ,fi,256,336,NA,223
5,five,65,65,65,65
ﬂ,fl,257,337,NA,224
ƒ,florin,246,304,203,206
4,four,64,64,64,64
⁄,fraction,244,332,NA,207
g,g,147,147,147,147
ß,germandbls,373,247,337,337
`,grave,301,140,140,140
&gt;,greater,76,76,76,76
«,guillemotleft,253,307,253,253
»,guillemotright,273,310,273,273
‹,guilsinglleft,254,334,213,210
›,guilsinglright,255,335,233,211
h,h,150,150,150,150
˝,hungarumlaut,315,375,NA,34
-,hyphen,55,55,55,55
i,i,151,151,151,151
í,iacute,NA,222,355,355
î,icircumflex,NA,224,356,356
ï,idieresis,NA,225,357,357
ì,igrave,NA,223,354,354
j,j,152,152,152,152
k,k,153,153,153,153
l,l,154,154,154,154
&lt;,less,74,74,74,74
¬,logicalnot,NA,302,254,254
ł,lslash,370,NA,NA,233
m,m,155,155,155,155
¯,macron,305,370,257,257
−,minus,NA,NA,NA,212
μ,mu,NA,265,265,265
×,multiply,NA,NA,327,327
n,n,156,156,156,156
9,nine,71,71,71,71
ñ,ntilde,NA,226,361,361
#,numbersign,43,43,43,43
o,o,157,157,157,157
ó,oacute,NA,227,363,363
ô,ocircumflex,NA,231,364,364
ö,odieresis,NA,232,366,366
œ,oe,372,317,234,234
˛,ogonek,316,376,NA,35
ò,ograve,NA,230,362,362
1,one,61,61,61,61
½,onehalf,NA,NA,275,275
¼,onequarter,NA,NA,274,274
¹,onesuperior,NA,NA,271,271
ª,ordfeminine,343,273,252,252
º,ordmasculine,353,274,272,272
ø,oslash,371,277,370,370
õ,otilde,NA,233,365,365
p,p,160,160,160,160
¶,paragraph,266,246,266,266
(,parenleft,50,50,50,50
),parenright,51,51,51,51
%,percent,45,45,45,45
.,period,56,56,56,56
·,periodcentered,264,341,267,267
‰,perthousand,275,344,211,213
+,plus,53,53,53,53
±,plusminus,NA,261,261,261
q,q,161,161,161,161
?,question,77,77,77,77
¿,questiondown,277,300,277,277
&quot;,quotedbl,42,42,42,42
„,quotedblbase,271,343,204,214
“,quotedblleft,252,322,223,215
”,quotedblright,272,323,224,216
‘,quoteleft,140,324,221,217
’,quoteright,47,325,222,220
‚,quotesinglbase,270,342,202,221
',quotesingle,251,47,47,47
r,r,162,162,162,162
®,registered,NA,250,256,256
˚,ring,312,373,NA,36
s,s,163,163,163,163
š,scaron,NA,NA,232,235
§,section,247,244,247,247
;,semicolon,73,73,73,73
7,seven,67,67,67,67
6,six,66,66,66,66
/,slash,57,57,57,57
 ,space,40,40,40,40
£,sterling,243,243,243,243
t,t,164,164,164,164
þ,thorn,NA,NA,376,376
3,three,63,63,63,63
¾,threequarters,NA,NA,276,276
³,threesuperior,NA,NA,263,263
˜,tilde,304,367,230,37
™,trademark,NA,252,231,222
2,two,62,62,62,62
²,twosuperior,NA,NA,262,262
u,u,165,165,165,165
ú,uacute,NA,234,372,372
û,ucircumflex,NA,236,373,373
ü,udieresis,NA,237,374,374
ù,ugrave,NA,235,371,371
_,underscore,137,137,137,137
v,v,166,166,166,166
w,w,167,167,167,167
x,x,170,170,170,170
y,y,171,171,171,171
ý,yacute,NA,NA,375,375
ÿ,ydieresis,NA,330,377,377
¥,yen,245,264,245,245
z,z,172,172,172,172
ž,zcaron,NA,NA,236,236
0,zero,60,60,60,60
